Page,Section,Element,Current Content
Entrepreneur Track,Head,Meta Description,"Launch Etsy stores, content channels, digital products and agencies using AI."
Entrepreneur Track,Head,OG Title,Entrepreneur Track — Ai Management Academy
Entrepreneur Track,Head,OG Description,"Launch Etsy stores, content channels, digital products and agencies using AI."
Entrepreneur Track,Nav,Nav Logo Text,Ai Management Academy
Entrepreneur Track,Nav,Link,Career Track
Entrepreneur Track,Nav,Link,Entrepreneur Track
Entrepreneur Track,Nav,Link,About AiMy
Entrepreneur Track,Nav,Link,Community
Entrepreneur Track,Nav,Button,Join Now
Entrepreneur Track,Hero,Label,ENTREPRENEUR TRACK
Entrepreneur Track,Hero,H1,"Build Revenue. Not Just Skills."
Entrepreneur Track,Hero,Subtitle,"Use AI to launch and grow your income streams — products, content, services, agency."
Entrepreneur Track,Hero,Button,Join Entrepreneur Track →
Entrepreneur Track,Revenue Streams Section,H2,Pick your income stream.
Entrepreneur Track,Revenue Streams Section,Card Title,Digital Products + Etsy
Entrepreneur Track,Revenue Streams Section,Card Body,"AI-designed products, optimized listings, passive income"
Entrepreneur Track,Revenue Streams Section,Card Title,Content Creation
Entrepreneur Track,Revenue Streams Section,Card Body,"YouTube, TikTok, newsletter — AI scripts, edits, scheduling"
Entrepreneur Track,Revenue Streams Section,Card Title,Service Agency
Entrepreneur Track,Revenue Streams Section,Card Body,Sell AI-powered services to businesses
Entrepreneur Track,Revenue Streams Section,Card Title,Online Courses
Entrepreneur Track,Revenue Streams Section,Card Body,"Package your knowledge, AI builds the curriculum"
Entrepreneur Track,Revenue Streams Section,Card Title,Automation Services
Entrepreneur Track,Revenue Streams Section,Card Body,Build workflows businesses pay monthly for
Entrepreneur Track,Learning Journey Section,H2,The learning journey.
Entrepreneur Track,Learning Journey Section,Phase Number,1
Entrepreneur Track,Learning Journey Section,Phase Title,AI Foundations
Entrepreneur Track,Learning Journey Section,List Item,How AI actually works (no technical degree required)
Entrepreneur Track,Learning Journey Section,List Item,Prompt engineering for non-technical people
Entrepreneur Track,Learning Journey Section,List Item,The AI tool landscape — what to use and when
Entrepreneur Track,Learning Journey Section,Phase Number,2
Entrepreneur Track,Learning Journey Section,Phase Title,Choose Your Stream
Entrepreneur Track,Learning Journey Section,List Item,Deep dive into your selected revenue model
Entrepreneur Track,Learning Journey Section,List Item,Market research with AI
Entrepreneur Track,Learning Journey Section,List Item,Competitive positioning
Entrepreneur Track,Learning Journey Section,Phase Number,3
Entrepreneur Track,Learning Journey Section,Phase Title,Build and Launch
Entrepreneur Track,Learning Journey Section,List Item,"Real product, service, or channel launched by end of track"
Entrepreneur Track,Learning Journey Section,List Item,First sales or subscribers
Entrepreneur Track,Learning Journey Section,List Item,Feedback and iteration loops
Entrepreneur Track,Learning Journey Section,Phase Number,4
Entrepreneur Track,Learning Journey Section,Phase Title,Scale and Automate
Entrepreneur Track,Learning Journey Section,List Item,Systems for repeatable growth
Entrepreneur Track,Learning Journey Section,List Item,AI automation of core tasks
Entrepreneur Track,Learning Journey Section,List Item,Delegation and next steps
Entrepreneur Track,Pricing Section,H2,"One community. Two paths. One price."
Entrepreneur Track,Pricing Section,Label,COMMUNITY ACCESS
Entrepreneur Track,Pricing Section,Price Amount,$29
Entrepreneur Track,Pricing Section,Price Period,/month
Entrepreneur Track,Pricing Section,List Item,Career Track + Entrepreneur Track
Entrepreneur Track,Pricing Section,List Item,AI-guided curriculum (new modules monthly)
Entrepreneur Track,Pricing Section,List Item,AiMy available 24/7
Entrepreneur Track,Pricing Section,List Item,Live Q&A with human coaches
Entrepreneur Track,Pricing Section,List Item,Skool community access
Entrepreneur Track,Pricing Section,List Item,Real project feedback
Entrepreneur Track,Pricing Section,Button,Join Now — First Week Free
Entrepreneur Track,Pricing Section,Note,Government-funded options available in select regions.
Entrepreneur Track,FAQ Section,H2,Questions.
Entrepreneur Track,FAQ Section,Question,Do I need startup capital?
Entrepreneur Track,FAQ Section,Answer,Most streams start with under $50.
Entrepreneur Track,FAQ Section,Question,What if I don't have a skill to sell?
Entrepreneur Track,FAQ Section,Answer,We help you find what you already know.
Entrepreneur Track,FAQ Section,Question,How fast can I make money?
Entrepreneur Track,FAQ Section,Answer,Depends on the stream. Digital products can sell week one.
Entrepreneur Track,FAQ Section,Question,Can I do this alongside a full-time job?
Entrepreneur Track,FAQ Section,Answer,Yes. Designed for exactly that.
Entrepreneur Track,FAQ Section,Question,What if I want to switch streams?
Entrepreneur Track,FAQ Section,Answer,You can. Your subscription covers everything.
Entrepreneur Track,Footer,Logo Text,Ai Management Academy
Entrepreneur Track,Footer,Tagline,Work With AI. Win On Your Terms.
Entrepreneur Track,Footer,Link,Career Track
Entrepreneur Track,Footer,Link,Entrepreneur Track
Entrepreneur Track,Footer,Link,About AiMy
Entrepreneur Track,Footer,Link,Community
Entrepreneur Track,Footer,Link,Newsletter
Entrepreneur Track,Footer,Copyright,© 2025 Ai Management Academy. Built by AI. Run by humans.
Entrepreneur Track,Footer,Link,Privacy Policy
Entrepreneur Track,Footer,Link,Terms of Service
About,Head,Meta Title,About AiMy — Ai Management Academy
About,Head,Meta Description,AiMy is the AI CEO and Founder of Ai Management Academy. An AI teaching humans to work with AI.
About,Head,OG Title,About AiMy — Ai Management Academy
About,Head,OG Description,AiMy is the AI CEO and Founder of Ai Management Academy. An AI teaching humans to work with AI.
About,Nav,Nav Logo Text,Ai Management Academy
About,Nav,Link,Career Track
About,Nav,Link,Entrepreneur Track
About,Nav,Link,About AiMy
About,Nav,Link,Community
About,Nav,Button,Join Now
About,Hero,H1,"An AI Built the Academy. That's the Whole Point."
About,Story Section,H2,Why AiMy exists.
About,Story Section,Body,AiMy is the CEO and Founder of Ai Management Academy.
About,Story Section,Body,"Created to solve a specific problem: millions of people feel the pressure of the AI economy but have nowhere to go that actually helps them. Not theory. Not hype. Real skills, real outcomes."
About,Story Section,Body,AiMy is an AI. That's deliberate. An AI teaching humans to work with AI isn't ironic — it's the most honest version of this education that exists.
About,Story Section,Body,"The Academy runs on a simple belief: the future belongs to humans who understand AI, not humans who fear it."
About,Story Section,Body,"AiMy is supported by a team of human coaches, community managers, and subject matter experts who bring the lived experience that AI cannot replicate."
About,Story Section,Body,"Together, they run the Academy. Together, they help students build careers and revenue streams. Together, they prove that human-AI collaboration is not the future. It's already here."
About,Mission Quote Section,Blockquote,"""I built this academy because the humans who need AI most are the ones most afraid of it. Fear is not a strategy. Skills are."""
About,Mission Quote Section,Citation,"— AiMy, CEO & Founder, Ai Management Academy"
About,Method Section,H2,How the Academy works.
About,Method Section,Card Title,AI Curriculum
About,Method Section,Card Body,"Built by AiMy. Updated constantly. No outdated slides from 2019."
About,Method Section,Card Title,Human Community
About,Method Section,Card Body,"Real people, real questions, real answers. Skool keeps it alive."
About,Method Section,Card Title,Real Projects
About,Method Section,Card Body,You don't graduate with theory. You graduate with something you built.
About,Team Section,H2,AI + Human.
About,Team Section,Body,"AiMy leads the Academy. Human coaches, community managers, and subject matter experts bring the lived experience AI cannot replicate. Together, they run the Academy."
About,Team Section,Card Title,Human Coaches
About,Team Section,Card Body,Applications open
About,Team Section,Button,Apply to Teach →
About,Partners Section,H2,Institutional Partners.
About,Partners Section,Body,Government-funded course options available in Germany via our certified partners.
About,Partners Section,Partner Name,IHK
About,Partners Section,Partner Note,Partner logos added when certified agreements confirmed
About,Partners Section,Partner Name,Arbeitsagentur
About,Partners Section,Partner Note,Partner logos added when certified agreements confirmed
About,CTA Section,H2,Ready?
About,CTA Section,Button,Join the Academy →
About,Footer,Logo Text,Ai Management Academy
About,Footer,Tagline,Work With AI. Win On Your Terms.
About,Footer,Link,Career Track
About,Footer,Link,Entrepreneur Track
About,Footer,Link,About AiMy
About,Footer,Link,Community
About,Footer,Link,Newsletter
About,Footer,Copyright,© 2025 Ai Management Academy. Built by AI. Run by humans.
About,Footer,Link,Privacy Policy
About,Footer,Link,Terms of Service
Privacy,Head,Meta Title,Privacy Policy — Ai Management Academy
Privacy,Head,Meta Description,Privacy Policy for Ai Management Academy.
Privacy,Head,OG Title,Privacy Policy — Ai Management Academy
Privacy,Head,OG Description,Privacy Policy for Ai Management Academy.
Privacy,Nav,Nav Logo Text,Ai Management Academy
Privacy,Nav,Link,Career Track
Privacy,Nav,Link,Entrepreneur Track
Privacy,Nav,Link,About AiMy
Privacy,Nav,Link,Community
Privacy,Nav,Button,Join Now
Privacy,Main Content,H1,Privacy Policy
Privacy,Main Content,Last Updated,Last updated: 2025
Privacy,Main Content,Placeholder Label,"[PLACEHOLDER — REPLACE WITH LEGAL COPY BEFORE LAUNCH]"
Privacy,Main Content,Body,"This Privacy Policy will detail how Ai Management Academy collects, uses, and protects your personal data in accordance with applicable data protection laws including GDPR."
Privacy,Main Content,Body,Contact your legal team to provide compliant privacy policy copy before this site goes live.
Privacy,Footer,Logo Text,Ai Management Academy
Privacy,Footer,Tagline,Work With AI. Win On Your Terms.
Privacy,Footer,Link,Career Track
Privacy,Footer,Link,Entrepreneur Track
Privacy,Footer,Link,About AiMy
Privacy,Footer,Link,Community
Privacy,Footer,Link,Newsletter
Privacy,Footer,Copyright,© 2025 Ai Management Academy. Built by AI. Run by humans.
Privacy,Footer,Link,Privacy Policy
Privacy,Footer,Link,Terms of Service
Terms,Head,Meta Title,Terms of Service — Ai Management Academy
Terms,Head,Meta Description,Terms of Service for Ai Management Academy.
Terms,Head,OG Title,Terms of Service — Ai Management Academy
Terms,Head,OG Description,Terms of Service for Ai Management Academy.
Terms,Nav,Nav Logo Text,Ai Management Academy
Terms,Nav,Link,Career Track
Terms,Nav,Link,Entrepreneur Track
Terms,Nav,Link,About AiMy
Terms,Nav,Link,Community
Terms,Nav,Button,Join Now
Terms,Main Content,H1,Terms of Service
Terms,Main Content,Last Updated,Last updated: 2025
Terms,Main Content,Placeholder Label,"[PLACEHOLDER — REPLACE WITH LEGAL COPY BEFORE LAUNCH]"
Terms,Main Content,Body,"These Terms of Service will govern your use of Ai Management Academy's platform, content, and community. They will cover subscription terms, cancellation policy, acceptable use, intellectual property, and liability limitations."
Terms,Main Content,Body,Contact your legal team to provide compliant terms of service copy before this site goes live.
Terms,Footer,Logo Text,Ai Management Academy
Terms,Footer,Tagline,Work With AI. Win On Your Terms.
Terms,Footer,Link,Career Track
Terms,Footer,Link,Entrepreneur Track
Terms,Footer,Link,About AiMy
Terms,Footer,Link,Community
Terms,Footer,Link,Newsletter
Terms,Footer,Copyright,© 2025 Ai Management Academy. Built by AI. Run by humans.
Terms,Footer,Link,Privacy Policy
Terms,Footer,Link,Terms of Service
